,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
50,Darebin,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Darebin_Railway_Station.jpg/100px-Darebin_Railway_Station.jpg,['bus'],Hurstbridge,11.22,6.97,1,8 May 1922,Ivanhoe,
51,Darling,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Darling_Railway_Station.JPG/100px-Darling_Railway_Station.JPG,['bus'],Glen Waverley,12.68,7.88,"['1', '2\n']",24 March 1890,Malvern East,
52,Dennis,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Dennis_Railway_Station.jpg/100px-Dennis_Railway_Station.jpg,['bus'],Hurstbridge,8.40,5.22,1,4 February 1924,Northcote,
53,Diamond Creek,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Diamond_Creek_station.jpg/100px-Diamond_Creek_station.jpg,['bus'],32.63,20.28,2[76],25 June 1912,Diamond Creek[76],,
54,Diggers Rest,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Diggers_Rest_Station.JPG/100px-Diggers_Rest_Station.JPG,['bus'],Sunbury,32.69,20.31,2,2 October 1859,Diggers Rest,
55,Eaglemont,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Eaglemont_Railway_Station.jpg/100px-Eaglemont_Railway_Station.jpg,[],Hurstbridge,13.09,8.13,"['1', '2\n']",1 May 1926,Eaglemont,
56,East Camberwell,//upload.wikimedia.org/wikipedia/commons/thumb/2/24/East_Camberwell_Railway_Station.jpg/100px-East_Camberwell_Railway_Station.jpg,[],BelgraveLilydale,11.08,6.88,1,14 May 1900,Camberwell,
57,East Malvern,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/East_Malvern_railway_station_-_Melbourne.jpg/100px-East_Malvern_railway_station_-_Melbourne.jpg,['bus'],Glen Waverley,13.75,8.54,"['1', '2\n']",3 February 1929,Malvern East,Formerly Eastmalvern
58,East Richmond,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/East_Richmond_station_%281%29.jpg/100px-East_Richmond_station_%281%29.jpg,['tram'],AlameinBelgraveGlen WaverleyLilydale,4.37,2.72,1,24 September 1860,Cremorne,Formerly Church Street
59,Edithvale,//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Edithvalestation2021.jpg/100px-Edithvalestation2021.jpg,['bus'],Frankston,31.67,19.68,2,20 September 1919,Edithvale,Rebuilt in 2021
