,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
207,Wattle Glen,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Wattle_Glen_station.jpg/100px-Wattle_Glen_station.jpg,['bus'],35.06,21.79,2[262],25 June 1912,Wattle Glen[262],Formerly Balee. Also spelt Wattleglen,
208,Werribee,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Platform_3_at_Werribee.jpg/100px-Platform_3_at_Werribee.jpg,['bus'],Werribee,31.70,19.70,2,25 June 1857,Werribee,
209,West Footscray,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/WeFo_Station_Aug_2021.jpg/100px-WeFo_Station_Aug_2021.jpg,['bus'],Sunbury,7.33,4.55,1,1 October 1888,West Footscray,Formerly Footscray West. Upgraded in 2020
210,West Richmond,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/West_Richmond_Railway_Station_2018-06-26.jpg/100px-West_Richmond_Railway_Station_2018-06-26.jpg,['bus'],HurstbridgeMernda,3.66,2.27,1,21 October 1901,Richmond,
211,Westall,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Westall_railway_station_-_Melbourne.jpg/100px-Westall_railway_station_-_Melbourne.jpg,['bus'],CranbournePakenham,22.64,14.07,2,6 February 1951,Clayton South,
212,Westgarth,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Westgraph_Railway_Station.jpg/100px-Westgraph_Railway_Station.jpg,"['tram', 'bus']",Hurstbridge,7.55,4.69,1,8 May 1888,Northcote,"Formerly:
Northcote South
Westgarth Street"
213,Westona,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/EntranceWestona.jpg/100px-EntranceWestona.jpg,['bus'],Werribee,18.53,11.51,"['1', '2\n']",21 January 1985,Altona,
214,Williams Landing,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/%E5%A8%81%E8%93%9D%E7%94%BA%E7%AB%99.jpg/100px-%E5%A8%81%E8%93%9D%E7%94%BA%E7%AB%99.jpg,['bus'],23.48,14.59,2[270],28 April 2013,Williams Landing[270],,
215,Williamstown,//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Williamstown_Railway_Station_June_2014.jpg/100px-Williamstown_Railway_Station_June_2014.jpg,['bus'],Williamstown,14.20,8.82,1,17 January 1859,Williamstown,
216,Williamstown Beach,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Williamstown_Beach_Station_%287%29.jpg/100px-Williamstown_Beach_Station_%287%29.jpg,[],13.18,8.19,1[273],12 August 1889,Williamstown[273],Formerly Beach,
217,Willison,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Willison_Station%2C_Camberwell.jpg/100px-Willison_Station%2C_Camberwell.jpg,[],Alamein,12.15,7.55,1,8 June 1908,Camberwell,Formerly Golf Links
218,Windsor,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/D003881-R1-05-20A.jpg/100px-D003881-R1-05-20A.jpg,['tram'],Sandringham,7.49,4.65,1,19 December 1859,Windsor,Formerly Chapel Street
219,Yarraman,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Yarraman_railway_station_-_Melbourne.jpg/100px-Yarraman_railway_station_-_Melbourne.jpg,['bus'],CranbournePakenham,29.04,18.04,2,21 December 1976,Noble Park,
220,Yarraville,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Yarraville_railway_station%2C_Melbourne.jpg/100px-Yarraville_railway_station%2C_Melbourne.jpg,['bus'],WerribeeWilliamstown,7.54,4.69,1,20 November 1871,Yarraville,
